index,radius [cm],frequency [GHz],distance [mm],col_points,sPDn_pln [W/m2],sPDn_sph [W/m2]
54,9.9,6.0,150.0,3.0,0.025808084949470577,0.025718827987060242
55,9.9,10.0,2.5,3.0,7.609350046624173,8.092790634750433
56,9.9,10.0,5.0,3.0,5.631271104870448,5.842056647424734
57,9.9,10.0,10.0,3.0,3.119320593403164,3.1552769219285954
58,9.9,10.0,50.0,3.0,0.22499934066436292,0.22422016053102312
59,9.9,10.0,150.0,3.0,0.025826723872263622,0.025737660697440237
60,16.1742,2.4,2.5,3.0,5.692901980400289,5.928081147720598
61,16.1742,2.4,5.0,3.0,4.346883971284909,4.44306744174943
62,16.1742,2.4,10.0,3.0,2.5188832913401797,2.5279956760779516
63,16.1742,2.4,50.0,3.0,0.2146050863214159,0.21412010437507367
64,16.1742,2.4,150.0,3.0,0.02565940592648469,0.025624793525285974
65,16.1742,3.0,2.5,3.0,5.735936783075744,5.978100644436167
66,16.1742,3.0,5.0,3.0,4.415541563246041,4.516640599853391
67,16.1742,3.0,10.0,3.0,2.5914454978556156,2.6026940775828944
68,16.1742,3.0,50.0,3.0,0.21806740411289252,0.2176434101195526
69,16.1742,3.0,150.0,3.0,0.025722218911750288,0.025688049828243856
70,16.1742,3.5,2.5,3.0,5.795417967533194,6.046140688599143
71,16.1742,3.5,5.0,3.0,4.499807177530968,4.605721793532356
72,16.1742,3.5,10.0,3.0,2.660114848679723,2.6730176408916657
73,16.1742,3.5,50.0,3.0,0.2198996504019023,0.21950963811917729
74,16.1742,3.5,150.0,3.0,0.02575231042095709,0.025718356660994788
75,16.1742,5.0,2.5,3.0,6.268289467782328,6.542229882355127
76,16.1742,5.0,5.0,3.0,4.895989004818833,5.009135614146679
77,16.1742,5.0,10.0,3.0,2.8544968458757185,2.8711450089960513
78,16.1742,5.0,50.0,3.0,0.2227419883085661,0.2224070247891893
79,16.1742,5.0,150.0,3.0,0.025795336150182775,0.025761690357185976
80,16.1742,6.0,2.5,3.0,6.846309000250922,7.092457180730984
81,16.1742,6.0,5.0,3.0,5.168362926012456,5.281308574714133
82,16.1742,6.0,10.0,3.0,2.9482413313459217,2.9670712592525224
83,16.1742,6.0,50.0,3.0,0.22363906376972298,0.22332206698825727
84,16.1742,6.0,150.0,3.0,0.025808084949470577,0.025774531508332085
85,16.1742,10.0,2.5,3.0,7.609350046624173,7.91516182364093
86,16.1742,10.0,5.0,3.0,5.631271104870448,5.767966344243738
87,16.1742,10.0,10.0,3.0,3.119320593403164,3.144938771073957
88,16.1742,10.0,50.0,3.0,0.22499934066436292,0.2247101434685547
89,16.1742,10.0,150.0,3.0,0.025826723872263622,0.025793304934679004
90,2.5599,2.4,2.5,5.0,5.692901980400289,6.8267062505458
91,2.5599,2.4,5.0,5.0,4.346883971284909,4.669911452680766
92,2.5599,2.4,10.0,5.0,2.5188832913401797,2.443739600540622
93,2.5599,2.4,50.0,5.0,0.2146050863214159,0.20215391436578461
94,2.5599,2.4,150.0,5.0,0.02565940592648469,0.024301619175489005
95,2.5599,3.0,2.5,5.0,5.735936783075744,6.908423971076486
96,2.5599,3.0,5.0,5.0,4.415541563246041,4.762100665257396
97,2.5599,3.0,10.0,5.0,2.5914454978556156,2.5242250496346013
98,2.5599,3.0,50.0,5.0,0.21806740411289252,0.20579850120045715
99,2.5599,3.0,150.0,5.0,0.025722218911750288,0.024364285672325885
100,2.5599,3.5,2.5,5.0,5.795417967533194,7.00984265818475
101,2.5599,3.5,5.0,5.0,4.499807177530968,4.866026188072533
102,2.5599,3.5,10.0,5.0,2.660114848679723,2.5979249310027646
103,2.5599,3.5,50.0,5.0,0.2198996504019023,0.2077349898934678
104,2.5599,3.5,150.0,5.0,0.02575231042095709,0.024394317787749423
105,2.5599,5.0,2.5,5.0,6.268289467782328,7.5460148741612265
106,2.5599,5.0,5.0,5.0,4.895989004818833,5.27288387103415
107,2.5599,5.0,10.0,5.0,2.8544968458757185,2.801216541074557
108,2.5599,5.0,50.0,5.0,0.2227419883085661,0.2107496860680275
109,2.5599,5.0,150.0,5.0,0.025795336150182775,0.024437268439664032
110,2.5599,6.0,2.5,5.0,6.846309000250922,7.994888683478416
111,2.5599,6.0,5.0,5.0,5.168362926012456,5.533175587599725
112,2.5599,6.0,10.0,5.0,2.9482413313459217,2.9013551978467302
113,2.5599,6.0,50.0,5.0,0.22363906376972298,0.2117038548461934
114,2.5599,6.0,150.0,5.0,0.025808084949470577,0.024449997560209137
115,2.5599,10.0,2.5,5.0,7.609350046624173,9.004613714492399
116,2.5599,10.0,5.0,5.0,5.631271104870448,6.098593607832725
117,2.5599,10.0,10.0,5.0,3.119320593403164,3.099455309937759
118,2.5599,10.0,50.0,5.0,0.22499934066436292,0.21315318959127394
119,2.5599,10.0,150.0,5.0,0.025826723872263622,0.02446861028309413
120,5.5384,2.4,2.5,5.0,5.692901980400289,6.323870301969581
121,5.5384,2.4,5.0,5.0,4.346883971284909,4.579954334055981
122,5.5384,2.4,10.0,5.0,2.5188832913401797,2.522698131111187
123,5.5384,2.4,50.0,5.0,0.2146050863214159,0.21164076455773062
124,5.5384,2.4,150.0,5.0,0.02565940592648469,0.025372786871775348
125,5.5384,3.0,2.5,5.0,5.735936783075744,6.38653249167936
126,5.5384,3.0,5.0,5.0,4.415541563246041,4.661762516270198
