index,col_points,diameter [cm],radius [m],frequency [GHz],distance [mm],sPDn_pln [W/m2],sPDn_sph [W/m2]
262,7.0,13.6055,0.06802749999999999,6.0,10.0,2.9482413313459217,2.976193898246796
263,7.0,13.6055,0.06802749999999999,6.0,50.0,0.22363906376972298,0.2219268157477548
264,7.0,13.6055,0.06802749999999999,6.0,150.0,0.025808084949470577,0.025619403220538628
265,7.0,13.6055,0.06802749999999999,10.0,2.5,7.609350046624173,8.285147697604227
266,7.0,13.6055,0.06802749999999999,10.0,5.0,5.631271104870448,5.916855294520673
267,7.0,13.6055,0.06802749999999999,10.0,10.0,3.119320593403164,3.1617908990751085
268,7.0,13.6055,0.06802749999999999,10.0,50.0,0.22499934066436292,0.22334460363864855
269,7.0,13.6055,0.06802749999999999,10.0,150.0,0.025826723872263622,0.025638278461784066
270,7.0,13.9542,0.069771,2.4,2.5,5.692901980400289,6.207928432651192
271,7.0,13.9542,0.069771,2.4,5.0,4.346883971284909,4.543733589032942
272,7.0,13.9542,0.069771,2.4,10.0,2.5188832913401797,2.527490965952077
273,7.0,13.9542,0.069771,2.4,50.0,0.2146050863214159,0.21263657031857944
274,7.0,13.9542,0.069771,2.4,150.0,0.02565940592648469,0.02547819437341976
275,7.0,13.9542,0.069771,3.0,2.5,5.735936783075744,6.266748007768485
276,7.0,13.9542,0.069771,3.0,5.0,4.415541563246041,4.623134231905207
277,7.0,13.9542,0.069771,3.0,10.0,2.5914454978556156,2.6044921760191735
278,7.0,13.9542,0.069771,3.0,50.0,0.21806740411289252,0.21622165364943804
279,7.0,13.9542,0.069771,3.0,150.0,0.025722218911750288,0.025541772637091825
280,7.0,13.9542,0.069771,3.5,2.5,5.795417967533194,6.345046925492697
281,7.0,13.9542,0.069771,3.5,5.0,4.499807177530968,4.717564264326764
282,7.0,13.9542,0.069771,3.5,10.0,2.660114848679723,2.6764809181468023
283,7.0,13.9542,0.069771,3.5,50.0,0.2198996504019023,0.21812249903687422
284,7.0,13.9542,0.069771,3.5,150.0,0.02575231042095709,0.02557223534371074
285,7.0,13.9542,0.069771,5.0,2.5,6.268289467782328,6.862874957284145
286,7.0,13.9542,0.069771,5.0,5.0,4.895989004818833,5.127011275511783
287,7.0,13.9542,0.069771,5.0,10.0,2.8544968458757185,2.878107906420825
288,7.0,13.9542,0.069771,5.0,50.0,0.2227419883085661,0.22107626219810397
289,7.0,13.9542,0.069771,5.0,150.0,0.025795336150182775,0.025615795458480185
290,7.0,13.9542,0.069771,6.0,2.5,6.846309000250922,7.382808716999694
291,7.0,13.9542,0.069771,6.0,5.0,5.168362926012456,5.397940024131161
292,7.0,13.9542,0.069771,6.0,10.0,2.9482413313459217,2.976189133410518
293,7.0,13.9542,0.069771,6.0,50.0,0.22363906376972298,0.2220097688130424
294,7.0,13.9542,0.069771,6.0,150.0,0.025808084949470577,0.025628703510339666
295,7.0,13.9542,0.069771,10.0,2.5,7.609350046624173,8.270427392385301
296,7.0,13.9542,0.069771,10.0,5.0,5.631271104870448,5.911359681585482
297,7.0,13.9542,0.069771,10.0,10.0,3.119320593403164,3.1614901854331214
298,7.0,13.9542,0.069771,10.0,50.0,0.22499934066436292,0.22342647286207906
299,7.0,13.9542,0.069771,10.0,150.0,0.025826723872263622,0.0256475759933649
300,7.0,14.5182,0.072591,2.4,2.5,5.692901980400289,6.189936353640178
301,7.0,14.5182,0.072591,2.4,5.0,4.346883971284909,4.537791864957004
302,7.0,14.5182,0.072591,2.4,10.0,2.5188832913401797,2.527964670428683
303,7.0,14.5182,0.072591,2.4,50.0,0.2146050863214159,0.2127682960333581
304,7.0,14.5182,0.072591,2.4,150.0,0.02565940592648469,0.025491871207456517
305,7.0,14.5182,0.072591,3.0,2.5,5.735936783075744,6.248171164527776
306,7.0,14.5182,0.072591,3.0,5.0,4.415541563246041,4.616818457132552
307,7.0,14.5182,0.072591,3.0,10.0,2.5914454978556156,2.6048268327731656
308,7.0,14.5182,0.072591,3.0,50.0,0.21806740411289252,0.21634981711745022
309,7.0,14.5182,0.072591,3.0,150.0,0.025722218911750288,0.02555543665084164
310,7.0,14.5182,0.072591,3.5,2.5,5.795417967533194,6.325807960653331
311,7.0,14.5182,0.072591,3.5,5.0,4.499807177530968,4.710918800090846
312,7.0,14.5182,0.072591,3.5,10.0,2.660114848679723,2.6767198310697364
313,7.0,14.5182,0.072591,3.5,50.0,0.2198996504019023,0.21824866035332366
314,7.0,14.5182,0.072591,3.5,150.0,0.02575231042095709,0.025585893354674198
315,7.0,14.5182,0.072591,5.0,2.5,6.268289467782328,6.8424393248212
316,7.0,14.5182,0.072591,5.0,5.0,4.895989004818833,5.120072315832666
317,7.0,14.5182,0.072591,5.0,10.0,2.8544968458757185,2.8781571550120977
318,7.0,14.5182,0.072591,5.0,50.0,0.2227419883085661,0.22119914512049013
319,7.0,14.5182,0.072591,5.0,150.0,0.025795336150182775,0.025629444197241676
320,7.0,14.5182,0.072591,6.0,2.5,6.846309000250922,7.364271245659711
